,heure,solaire,eolien,nucleaire,hydraulique,gaz,imports
60,2024-01-03 12:00:00,0.15292079735326186,0.8275252993679382,0.8,1.0,0.9,1.0
61,2024-01-03 13:00:00,0.185086896106879,0.8462291000564063,0.8,1.0,0.9,1.0
62,2024-01-03 14:00:00,0.18556147789176844,0.849163029576166,0.8,1.0,0.9,1.0
63,2024-01-03 15:00:00,0.15735022734556323,0.847643673217719,0.8,1.0,0.9,1.0
64,2024-01-03 16:00:00,0.09106697138933904,0.8523589170887614,0.8,1.0,0.9,1.0
65,2024-01-03 17:00:00,0.034117157202607044,0.8747825212754963,0.8,1.0,0.9,1.0
66,2024-01-03 18:00:00,0.013024633429743337,0.8756207868525705,0.8,1.0,0.9,1.0
67,2024-01-03 19:00:00,0.0,0.8694909698202155,0.8,1.0,0.9,1.0
68,2024-01-03 20:00:00,0.0,0.8615274468380105,0.8,1.0,0.9,1.0
69,2024-01-03 21:00:00,0.0,0.853721098651507,0.8,1.0,0.9,1.0
70,2024-01-03 22:00:00,0.0,0.8420901637696024,0.8,1.0,0.9,1.0
71,2024-01-03 23:00:00,0.0,0.8153704485003622,0.8,1.0,0.9,1.0
72,2024-01-04 00:00:00,0.0,0.7841450557543482,0.8,1.0,0.9,1.0
73,2024-01-04 01:00:00,0.0,0.7643410314959702,0.8,1.0,0.9,1.0
74,2024-01-04 02:00:00,0.0,0.7247329829792143,0.8,1.0,0.9,1.0
75,2024-01-04 03:00:00,0.0,0.7031476443695536,0.8,1.0,0.9,1.0
76,2024-01-04 04:00:00,0.0,0.678942725831536,0.8,1.0,0.9,1.0
77,2024-01-04 05:00:00,0.0,0.6438403547915538,0.8,1.0,0.9,1.0
78,2024-01-04 06:00:00,0.0,0.6036559986905593,0.8,1.0,0.9,1.0
79,2024-01-04 07:00:00,0.0,0.5512644001234217,0.8,1.0,0.9,1.0
80,2024-01-04 08:00:00,0.01286643950144686,0.517524210646185,0.8,1.0,0.9,1.0
81,2024-01-04 09:00:00,0.019457853180466767,0.48509381113312694,0.8,1.0,0.9,1.0
82,2024-01-04 10:00:00,0.07577489165401285,0.45109166366305464,0.8,1.0,0.9,1.0
83,2024-01-04 11:00:00,0.179128258141045,0.41750864898151946,0.8,1.0,0.9,1.0
84,2024-01-04 12:00:00,0.2704588860775448,0.4039392249526308,0.8,1.0,0.9,1.0
85,2024-01-04 13:00:00,0.29634995900873506,0.40860207722510605,0.8,1.0,0.9,1.0
86,2024-01-04 14:00:00,0.26856055893798714,0.41295057990617845,0.8,1.0,0.9,1.0
87,2024-01-04 15:00:00,0.20675946428349645,0.41195513953340285,0.8,1.0,0.9,1.0
88,2024-01-04 16:00:00,0.12497320335421744,0.43720789004276317,0.8,1.0,0.9,1.0
89,2024-01-04 17:00:00,0.046034433134275035,0.49043775418697494,0.8,1.0,0.9,1.0
90,2024-01-04 18:00:00,0.013815603071225728,0.5547222456288528,0.8,1.0,0.9,1.0
91,2024-01-04 19:00:00,0.0,0.6193210866621334,0.8,1.0,0.9,1.0
92,2024-01-04 20:00:00,0.0,0.642792522820211,0.8,1.0,0.9,1.0
93,2024-01-04 21:00:00,0.0,0.6567810796376368,0.8,1.0,0.9,1.0
94,2024-01-04 22:00:00,0.0,0.6521182273651616,0.8,1.0,0.9,1.0
95,2024-01-04 23:00:00,0.0,0.6136104024183154,0.8,1.0,0.9,1.0
96,2024-01-05 00:00:00,0.0,0.5962687832925929,0.8,1.0,0.9,1.0
97,2024-01-05 01:00:00,0.0,0.5905057074502077,0.8,1.0,0.9,1.0
98,2024-01-05 02:00:00,0.0,0.5718019067617396,0.8,1.0,0.9,1.0
99,2024-01-05 03:00:00,0.0,0.547596988223722,0.8,1.0,0.9,1.0
100,2024-01-05 04:00:00,0.0,0.5321938582449837,0.8,1.0,0.9,1.0
101,2024-01-05 05:00:00,0.0,0.5160572458863052,0.8,1.0,0.9,1.0
102,2024-01-05 06:00:00,0.0,0.48986144660273645,0.8,1.0,0.9,1.0
103,2024-01-05 07:00:00,0.0,0.4506201392759504,0.8,1.0,0.9,1.0
104,2024-01-05 08:00:00,0.013024633429743337,0.41373645388468555,0.8,1.0,0.9,1.0
105,2024-01-05 09:00:00,0.016030318067376415,0.37999626440744894,0.8,1.0,0.9,1.0
106,2024-01-05 10:00:00,0.035857290413868294,0.3683129379269772,0.8,1.0,0.9,1.0
107,2024-01-05 11:00:00,0.08347366283110812,0.3423790966362441,0.8,1.0,0.9,1.0
108,2024-01-05 12:00:00,0.13646862881042818,0.32247028918073184,0.8,1.0,0.9,1.0
109,2024-01-05 13:00:00,0.17311688886577886,0.3184885276896294,0.8,1.0,0.9,1.0
110,2024-01-05 14:00:00,0.17364420196010044,0.3094247811375146,0.8,1.0,0.9,1.0
111,2024-01-05 15:00:00,0.13947431344806124,0.29711275547423727,0.8,1.0,0.9,1.0
112,2024-01-05 16:00:00,0.08584657175555527,0.26683041150243175,0.8,1.0,0.9,1.0
113,2024-01-05 17:00:00,0.03327345625169249,0.22827019495701847,0.8,1.0,0.9,1.0
114,2024-01-05 18:00:00,0.013393752595768452,0.2184205744263966,0.8,1.0,0.9,1.0
115,2024-01-05 19:00:00,0.0,0.2334569632151651,0.8,1.0,0.9,1.0
116,2024-01-05 20:00:00,0.0,0.24131570300023572,0.8,1.0,0.9,1.0
117,2024-01-05 21:00:00,0.0,0.24508789809706963,0.8,1.0,0.9,1.0
118,2024-01-05 22:00:00,0.0,0.25305142107927453,0.8,1.0,0.9,1.0
119,2024-01-05 23:00:00,0.0,0.26017667848440523,0.8,1.0,0.9,1.0
120,2024-01-06 00:00:00,0.0,0.26504909715114905,0.8,1.0,0.9,1.0
121,2024-01-06 01:00:00,0.0,0.24718356203975514,0.8,1.0,0.9,1.0
122,2024-01-06 02:00:00,0.0,0.23398087920083646,0.8,1.0,0.9,1.0
123,2024-01-06 03:00:00,0.0,0.23633850113635765,0.8,1.0,0.9,1.0
124,2024-01-06 04:00:00,0.0,0.23811981548764033,0.8,1.0,0.9,1.0
125,2024-01-06 05:00:00,0.0,0.24068700381743008,0.8,1.0,0.9,1.0
126,2024-01-06 06:00:00,0.0,0.2433589753443541,0.8,1.0,0.9,1.0
